0.7598,0,0,1,-1
0.7598,0.438,0,1,-0.0835795
0.7598,0.876,-24.5637,1,-0.0835803
0.7598,1.314,-1.6532,1,-0.083581
0.7598,1.752,-1.6532,1,-0.0835818
0.7598,2.19,-1.6532,1,-0.0835826
0.7598,2.628,-1.6532,1,-0.0835833
0.7598,3.066,-1.6532,1,-0.0835841
0.7598,3.066,-1.6532,1,-0.0835848
0.7598,3.504,-1.6533,1,-0.0835856
0.7598,3.942,-1.6533,1,-0.0835864
0.7598,4.38,-1.6533,1,-0.0835871
0.7598,4.818,-1.6533,1,-0.0835879
0.7598,5.256,-1.6533,1,-0.0835886
0.7598,5.694,-1.6534,1,-0.0835894
0.7598,6.132,-1.6534,1,-0.0835902
0.7598,6.132,-1.6534,1,-0.0835909
0.7599,6.57,-1.6534,1,-0.0839027
0.7599,6.7858,-1.6534,1,-0.0836034
0.7597,4.9115,-1.6612,1,-0.0829822
0.7595,3.2877,-1.6538,1,-0.082961
0.7593,1.8772,-1.6382,1,-0.0829397
0.759,1.0531,-1.6377,1,-0.0826075
0.7588,1.0433,-1.6372,1,-0.0828862
0.7588,1.0433,-1.6372,1,-0.083487
0.7586,1.5488,-1.6358,1,-0.0828658
0.7583,1.9014,-1.6508,1,-0.0825335
0.758,2.0582,-1.6353,1,-0.0825013
0.7577,2.0546,-1.627,1,-0.082469
0.7574,1.9624,-1.6262,1,-0.0824368
0.757,1.8244,-1.6254,1,-0.0820935
0.7563,1.613,-1.616,1,-0.0811173
0.7563,1.613,-1.616,1,-0.0832181
0.7559,1.6007,-1.5916,1,-0.0819748
0.7555,1.6498,-1.6441,1,-0.0819316
0.755,1.7214,-1.613,1,-0.0815773
0.7545,1.8412,-1.612,1,-0.0815231
0.754,1.9613,-1.6031,1,-0.0814688
0.754,1.9613,-1.6031,1,-0.0829696
0.7534,2.0667,-1.6004,1,-0.0811043
0.7529,2.1824,-1.6379,1,-0.0813501
0.7522,2.2562,-1.5913,1,-0.0806738
0.7516,2.4095,-1.5974,1,-0.0809086
0.7509,2.5137,-1.5805,1,-0.0805323
0.7509,2.5137,-1.5805,1,-0.0826331
0.7502,2.6357,-1.577,1,-0.0804568
0.7494,2.7268,-1.6295,1,-0.0800696
0.7486,2.8813,-1.5751,1,-0.0799823
0.7477,3.0078,-1.5654,1,-0.0795841
0.7468,3.1238,-1.5632,1,-0.0794858
0.7468,3.1238,-1.5632,1,-0.0821866
0.7459,3.2614,-1.5508,1,-0.0793883
0.7449,3.3954,-1.6183,1,-0.0789791
0.7439,3.5457,-1.5484,1,-0.0788698
0.7428,3.6931,-1.5381,1,-0.0784496
0.7428,3.6931,-1.5381,1,-0.0817503
0.7416,3.8437,-1.5249,1,-0.078019
0.7404,3.9999,-1.6074,1,-0.0778878
0.7392,4.16,-1.5141,1,-0.0777565
0.7378,4.325,-1.5109,1,-0.0770033
0.7365,4.4945,-1.5076,1,-0.077161
0.7365,4.4945,-1.5076,1,-0.0810617
0.735,4.6687,-1.4927,1,-0.0763975
0.7335,4.8474,-1.5902,1,-0.0762332
0.7319,5.0306,-1.4736,1,-0.0757579
0.7302,5.2182,-1.4695,1,-0.0752717
0.7285,5.4103,-1.4576,1,-0.0750854
